GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java_loops,org.factoriaf5.juanim,MultiplicationTable,0,28,0,2,0,5,0,3,0,2
java_loops,org.factoriaf5.juanim,Main,3,0,0,0,1,0,1,0,1,0
